ID,Username,Rating,Review Time,Review Content,Owner Response
11,EVA K.,5,2021-06-28,"Beautiful daycare, very clean, the staff is super gentle and professional and their educative program is outstanding (they do outdoors activities / Writing  / Science experiments / Cooking class / Yoga / Once a week english class). Well Happy Kids, happy parents. Highly recommended !",
12,U T,5,2022-06-28,"I am extremely saddened to see all the false information that have been posted in other reviews. People should do their own research and hear the two sides of a story before deciding to ""cancel"" a local daycare. I do not stand for hate speech. I saw that one person posted negative reviews at least 5 times under different accounts. Future parents should know that this daycare will do the absolute best to take care of their children.",
13,PARC MTL,1,2022-06-28,"Posting to support the mom this is unacceptable, baby could of died
*******************££*
You know what…Facebook, do your thing 😤😤😤

Friday November 5 I dropped Nova at her daycare (garderie éducative les libellules - Lasalle on 7964 Allard street).  Nova was not sick, she wasn’t coughing, no fever, nothing.

My mom went to pick her up that afternoon and
Mind you Nova ALWAYS run out when we go pock her up.

This time they carried Nova to my mom and the second my mom saw she called and told me Nova was not breathing properly.  You could CLEARLY see her throat and stomach forcing for air.

We took her to the ER and saturation level was at 84-86%!!!  The daycare neglected to call me or 911 while my daughter was gasping for air.

When I went to talk to them yesterday, the director told me and I quote « oxygen is inside the body we can’t see what’s inside the body »

The was no sence of urgency on their part, they did not look to have an investigation nor to try to see what happen to prevent it from happening…no excuses were made for what happened, they just told me I was looking for trouble.  They just didn’t care and seemed to just want to wash their hands from it.

They also told to got talk to the ladies, but weirdly enough none of them came in this morning😒

So, currently looking for a new daycare in Lachine","We are extremely saddened to receive this review from someone who not only does not use our services, but is also based on false and incomplete information.

We understand your frustration following the social media posting of a parent that was previously using our services, however, each story has two sides and unfortunately the picture depicted is far away from reality. We have a long and proven track record of going above and beyond for the families that use our services.

We are a family-run small business that have been present for almost five years in our community. We hold the safety, well-being and development of the children in our care. We actually pride ourselves in the service that we give and we are grateful to continue to do so.

As you may be aware, COVID wasn't easy on people and on small businesses, especially private daycares such as ours. We are no exception. This post is not only damaging to our reputation, but it poses a threat to the livelihood of our staff and to the services we provide to the 50+ familie.

Therefore, we kindly ask you to reconsider your posting while we are addressing the issues raised with the parent in question. If there are any other issues you want to raise with us, we kindly invite you to email us at garderie.libellules@gmail.com

Thank you wholeheartedly"
14,D,5,2022-06-28,"I saw many copy and paste reviews which is unfair for such a nice daycare center. I have child staying here, what I saw is a really wonderful place for toddlers, owners and educators care so much of the children.",
15,Moralo Media,1,2022-06-28,They neglected a baby with respiratory difficulties.  They didn’t call the mother nor the paramedics.  The baby ended in the er at 86% saturation and was in hospital for 3 days,"We are extremely saddened to receive this review from someone who not only does not use our services, but is also based on false and incomplete information.

We understand your frustration following the social media posting of a parent that was previously using our services, however, each story has two sides and unfortunately the picture depicted is far away from reality. We have a long and proven track record of going above and beyond for the families that use our services.

We are a family-run small business that have been present for almost five years in our community. We hold the safety, well-being and development of the children in our care. We actually pride ourselves in the service that we give and we are grateful to continue to do so.

As you may be aware, COVID wasn't easy on people and on small businesses, especially private daycares such as ours. We are no exception. This post is not only damaging to our reputation, but it poses a threat to the livelihood of our staff and to the services we provide to the 50+ families.

Therefore, we kindly ask you to reconsider your posting while we are addressing the issues raised with the parent in question. If there are any other issues you want to raise with us, we kindly invite you to email us at garderie.libellules@gmail.com

Thank you wholeheartedly"
16,Ali Paknia,5,2022-06-28,It's a great daycare. Our daughter has been there for 3 years and we are completely satisfied.,
17,elham fazel,5,2022-06-28,"I recommend it. All its members are really kind, patient and committed to kids.",
18,Belt of Truth,5,2021-06-28,They take care of the kids well. The kids enjoy it.  They are fed well and they learn a lot.,
19,Jean-François Gélinas,5,2022-06-28,"Nos enfants ont passé 4 ans à cette garderie et ce fut une merveilleuse expérience. Les locaux sont grands, éclairés et bien garnis en jouets
L'équipe de direction est compétente et choisi les éducatrices avec soin. Le programme éducatif est exceptionnel. Les repas sentent délicieux le matin, ça nous donne envie de rester pour l'heure du lunch. Les enfants de bébé à pré-scolaire reviennent heureux à la maison et on hâte d'y entrer le matin. À la fin de leur parcours, ils partent bien formés pour l'école et parfaitement bilingues.",
20,Massil,5,2021-06-28,"Ce que j’ai aimé par dessus tout dans cette garderie sont les diverses activités qui sont offertes aux enfants, incluant le yoga et les cours de cuisine. Le fait que la garderie soit bilingue permet d’aider nos enfants à développer une seconde langue très tôt. De plus, leur parc privé permet aux enfants de s’épanouir en plein air à tous les jours en toute sécurité. Les éducatrices sont très gentilles et professionnelles. Je recommande fortement cette garderie.",
21,safae yassine,5,2022-06-28,"Mon fils a passé plus de 2 ans dans cette garderie. C'était un endroit d'épanouissement et d'apprentissage.
Il n'a que 4 ans et il parle couramment en Anglais, uniquement grâce à la garderie.
À la direction, il y a des gens compréhensifs et de confiance qui donne toujours plus de leur temps et leur attention.
Merci à vous et à toutes les éducatices vous allez nous manquer!",
22,nadia S,5,2022-06-28,Superbe garderie mes enfant y sont inscrits sa fait 2 ans jamais je n’ai eu de problème c’est  très sécuritaire et ce que j’aime avant tout c’est le côté humain et la grande famille qui réunit cette garderie  ces gens qui prennent leur rôle à cœur et qui s’occupent des enfants comme si c’était les siens tout les mauvais commentaire que je li sont désastreux et faux je recommanderais toujours cette garderie merci encore de prendre soin de nos anges ❤️❤️❤️❤️❤️,
23,Bryan Tano,4,2020-06-28,"Très belle  garderie, propreté, belle accueil, flexibilité pour les dates de paiments .Laissez des instructions pour votre enfant en cas de maladie et tout es bien fait.",
24,Nawfel Faraj,5,2020-06-28,Excellent service. Très professionnel et à l'écoute de nos besoins!,
25,Samy B,5,2020-06-28,"Excellent service, programme éducatif complet.",
26,steffi Baptiste,1,2022-06-28,No review text provided.,"We are extremely saddened to receive this review from someone who not only does not use our services, but is also based on false and incomplete information.

We understand your frustration following the social media posting of a parent that was previously using our services, however, each story has two sides and unfortunately the picture depicted is far away from reality. We have a long and proven track record of going above and beyond for the families that use our services.

We are a family-run small business that have been present for almost five years in our community. We hold the safety, well-being and development of the children in our care. We actually pride ourselves in the service that we give and we are grateful to continue to do so.

As you may be aware, COVID wasn't easy on people and on small businesses, especially private daycares such as ours. We are no exception. This post is not only damaging to our reputation, but it poses a threat to the livelihood of our staff and to the services we provide to the 50+ familie.

Therefore, we kindly ask you to reconsider your posting while we are addressing the issues raised with the parent in question. If there are any other issues you want to raise with us, we kindly invite you to email us at garderie.libellules@gmail.com

Thank you wholeheartedly"
27,Steffi Baptiste,1,2022-06-28,No review text provided.,"We are extremely saddened to receive this review from someone who not only does not use our services, but is also based on false and incomplete information.

We understand your frustration following the social media posting of a parent that was previously using our services, however, each story has two sides and unfortunately the picture depicted is far away from reality. We have a long and proven track record of going above and beyond for the families that use our services.

We are a family-run small business that have been present for almost five years in our community. We hold the safety, well-being and development of the children in our care. We actually pride ourselves in the service that we give and we are grateful to continue to do so.

As you may be aware, COVID wasn't easy on people and on small businesses, especially private daycares such as ours. We are no exception. This post is not only damaging to our reputation, but it poses a threat to the livelihood of our staff and to the services we provide to the 50+ familie.

Therefore, we kindly ask you to reconsider your posting while we are addressing the issues raised with the parent in question. If there are any other issues you want to raise with us, we kindly invite you to email us at garderie.libellules@gmail.com

Thank you wholeheartedly"
28,Alfred Leung,5,2019-06-29,No review text provided.,
29,Ikram Mec,5,2019-06-29,No review text provided.,
30,steffi lauryn Baptiste,1,2022-06-28,No review text provided.,"We are extremely saddened to receive this review from someone who not only does not use our services, but is also based on false and incomplete information.

We understand your frustration following the social media posting of a parent that was previously using our services, however, each story has two sides and unfortunately the picture depicted is far away from reality. We have a long and proven track record of going above and beyond for the families that use our services.

We are a family-run small business that have been present for almost five years in our community. We hold the safety, well-being and development of the children in our care. We actually pride ourselves in the service that we give and we are grateful to continue to do so.

As you may be aware, COVID wasn't easy on people and on small businesses, especially private daycares such as ours. We are no exception. This post is not only damaging to our reputation, but it poses a threat to the livelihood of our staff and to the services we provide to the 50+ families.

Therefore, we kindly ask you to reconsider your posting while we are addressing the issues raised with the parent in question. If there are any other issues you want to raise with us, we kindly invite you to email us at garderie.libellules@gmail.com

Thank you wholeheartedly"
31,정진철,5,2019-06-29,No review text provided.,
32,Zahra Bagheri,1,2019-06-29,No review text provided.,
33,Diallo Amadou,5,2019-06-29,No review text provided.,
34,Nabil Fates,5,2021-06-28,No review text provided.,
35,Sophia Kwon,5,2021-06-28,No review text provided.,
36,Homere Lamarre,5,2020-06-28,No review text provided.,
37,Milad M,5,2021-06-28,No review text provided.,
38,Yuanwei Lai,4,2021-06-28,No review text provided.,
