ID,Username,Rating,Review Time,Review Content,Owner Response
11,Ziki KI,5,2022-06-29,"The library is a great place, calm, quite and a very pretty place. They even have computers and Tablets you can use all you need is a library card to access them. The bathrooms are extremely clean and a nice green color. The more mature books are upstairs, anywhere you turn there's a place to sit. It's more crowded during the weekends though",
12,Loida Pancorbo,4,2021-06-29,The building is modern and the space is open. Great collection for kids. They lend board games too and with the Nelligan system they will have in days the reservations that you did ready for you. You can autocheck out the books by yourself without interacting with anybody if you are shy.,
13,Anaam Embark,5,2023-04-30,I love the way that you could watch a movie on a tvq,
14,Andrew Sisk,5,2021-06-29,A beautiful space. Family friendly and full of spaces to sit and study or read. The graphic novel section is amazing. A toddler play space. Study rooms. Access to LEGO robotics kits. The tech lab is incredible. Highly recommend this space.,
15,Kim Hayes,5,2018-06-30,"Compared to the old location this is absolutely the best. The building is spacious, modern, welcoming, and there are many spaces to sit and relax. It can be very busy though with students studying and, unfortunately, young kids left running everywhere because parents think it's ok to allow it. Great selection of books, the staff is friendly, and I'm happy the Montreal libraries are getting more books online.",
16,Amanta Hf,5,2022-12-01,"Very good library, quiet and peaceful i go there from time to time",
17,Vanesa J,2,2021-06-29,"The place is really good. Looks like the new Library in Lachine. The person who talked to us wasn't very kind and was complaining about an error from other library in our file, trying to make me fill guilty as I was a child... Kind of funny, but not enjoyable, experience. We ll see if they improve the approach when they will fix the issue.",
18,Cynthia Marie,1,2017-06-30,"The library itself is wonderful and the staff is amazing and quite helpful. However, as happens so often nowadays, kids are running around, riding scooters, racing up and down the stairs and acting as though everything and everyone was put on the earth for their use and amusement.  You really can't relax and enjoy yourself. I just pick up my books and leave. It's too bad because it could be a nice place for everyone to enjoy but as it stands now it is not. It's a giant toy for kids to play in.  There is no one interested in asking kids to think about others. We are raising a generation who will lack compassion and never think about anyone but themselves. So sad.",
19,Casey Ecker,4,2021-06-29,Probably one of my favorite little libraries in all of Montreal. Lovely selection of everything from novels to fashion/history and language books. Incredibly kid friendly and fun activities like figure sketching with a live model.,
20,Louis Perron,5,2018-06-30,"Very cool library. Great place to work away an afternoon in any season. Definitely worth a visit. It’s also across from the park, so you can take out a book and go read on the grass. Love it!",
21,Maryam Nasr,4,2022-06-29,Very nice spacious library but closes too early. Kids want to go after school after dinner !!,
22,Coll,5,2022-12-01,One of the best libraries in the city. Huge collection of English books upstairs,
23,Dipen Lamichhane,4,2022-08-03,Bit noisy here but they have good selection of books/dvds here. Staff personnel are very very very helpful & kind.,
24,Coco Sha,5,2022-06-29,Nice place to read books alone or with your children. Family friendly and various activities,
25,Javad Doozandeh,5,2022-06-29,"Very nice building and friendly staff
I wish they could extend the opening time which is really needed",
26,Julie Godon,5,2018-06-30,"This new neighbourhood library has everything, comfy and sunnny spaces to read, great classes like 3D printing. If you can't find your book, you can reserve it online with the Nelligan system - it will turn up in a few days and you will get notified by email.",
27,Olivia Popescu,5,2022-06-29,Love this library - always has the books I am looking for and it has lots of fun sitting areas.,
28,Emma Wahl,4,2018-06-30,Fortunate to have this stylish and welcoming library in my neighbourhood. So far I have found the staff to be friendly and helpful. However a larger selection of English books would be welcome.,
29,Hocine,5,2021-06-29,"Very nice space to study,adultsand kids and the staff is nice, I hope that they can extend their opening hours..",
30,Abel Fuchslocher,5,2017-06-30,Stylish modern library and community center. Strong wifi.,
31,Peter Deslauriers,5,2017-06-30,"Excellent new library. Very friendly and helpful staff. Now all we need is more opening hours, particularly extending evening hours to 9 pm.",
32,Summer yard 여름마당,4,2022-12-31,A lot of book but sometime its noisy,
33,Tara Gerrie,1,2020-06-29,"Rude and incompetent staff.  In the dead of winter was told we had to wear our soaking wet boots in the library only to have to take them off in the kids section.

Kids section nothing to brag about.",
34,Tulip Tu,5,2019-06-30,"It’s a new library with modern convenience facilities. I can study here for all day ,most time it’s quite .The labtops and iPads are rentable ,it’s really good.",
35,Tara Rainville,3,2021-06-29,Love the library! I just wish their English section was larger. I have read much of what there is.,
36,Ana Zar,3,2020-06-29,"Very noisy, not a good place if you need a quiet place, there are always kids and teenagers in this library who make a lot of noise!",
37,Some Random Canuck,3,2020-06-29,Pretty cool library but poorly designed. Fairly noisy sitting areas.,
38,R Bot,3,2018-06-30,"This library is not so friendly for those who are looking for a place to work. First is the schedule, the library is not accessible for those who work in the morning.  Second the reading tables don't offer any sort of isolation.",
39,Amir Yadghar,5,2022-06-29,"Excellent library
Excellent staff
Very good service
Great for kids
well organized",
40,somaya zahran,5,2022-06-29,"Great staff. The place is nice and cozy, well taken care of.",
41,Miu Kuen Lee,5,2019-06-30,new and great place for study. I could reheat my lunch on ground floor with the microwave.,
42,Arman Hossain,1,2019-06-30,"the service is bad, they wont  give you card because your school is in a other area then Montreal please fix this and it is not worth paying 44$ just for a damn card pers YEAR please change this !",
43,DA,5,2017-06-30,Friendly staff in a very warm place good for a reading or studying session.,
44,Nuo C,5,2017-06-30,Amazing new library in the neighborhood. Very cozy inside to read,
45,Michel V,5,2023-04-30,Nice place.,
46,Tom Abray,5,2017-06-30,We're so fortunate to have this beautiful library in our neighbourhood.,
47,Rabbi Yisroel Bernath,5,2017-06-30,Very friendly staff and a great new library in NDG.,
48,SKY WORLD,4,2022-06-29,Pretty good nice library.,
49,yuyuwebq,5,2022-10-02,very good studying place,
50,ayda azizi,5,2022-06-29,My best place in mtl for study,
51,SOOWOONG CHO (coolpilot),5,2019-06-30,Don't want to mention about tbis place. Keep calm and come to see.,
52,Amin Moafi,4,2020-06-29,"Despite being noisy at times, it is a tolerable place to study.",
53,I PL,4,2022-06-29,"Can't get forms, papers, or applications in english.",
54,Meghan S,5,2017-06-30,"Clean, modern and organized. Very helpful staff :)",
55,Vivek Ramanath,5,2022-06-29,Great for kids and adults alike.,
56,S H,5,2017-06-30,Very great place,
57,Shengying Zhou,5,2016-06-30,"It's closed and replaced by a new library,but they save the old one for memories",
58,Michael Derrick,4,2022-06-29,New library. Past of Montreal library system.,
59,Zhaolong WANG,5,2017-06-30,"been here frequently, kid likes it",
60,K Baburek,5,2021-06-29,Great 21ct library!,
61,nima DIAN,1,2019-06-30,"Noisy place
I am so disappointed",
62,Arjun Patel,5,2018-06-30,Really nice library.,
63,Philippe Deslongchamps,5,2016-06-30,Very good chicken literature,
64,Bayan Helles,5,2019-06-30,It's very good.,
65,Reza N,5,2016-06-30,Small but nice,
66,Marga Gomez,4,2022-06-29,I love this place!,
67,Hugues Terrien,5,2016-06-30,Terriffic brand new library!,
68,David Sampson,3,2022-06-29,Great,
69,Сергей Савкин,5,2021-06-29,perfect sevice!,
70,Elena Miro,5,2016-06-30,Amazing!,
71,YM Chao,5,2020-06-29,Amazing place!,
72,roman hadjadj,5,2022-06-29,Beatiful ❤,
73,P. M.E.,5,2018-06-30,Great place!,
74,Kayy Williams,5,2017-06-30,i love this library,
75,Pascal St Pierre,5,2018-06-30,Good,
76,andrew kitzanuk,4,2018-06-30,Staff patience,
77,Hongan Life,1,2019-06-30,Unprofessional staff,
78,Estelle Sourlis,5,2022-11-01,A great library!!!!!!!!!!,
79,j j,5,2018-06-30,Good,
80,HLN,5,2023-01-30,"This is a really good library for children.
English/French books are diverse and well-organized, so children can easily find and read books. It is a really valuable library because you can see activities and performances!",
81,Park규억,5,2023-01-30,"There are many kinds of books and there are many events. DVDs, music CDs, etc. can be rented. It's a very nice place and a place to go often for children.^^ Be kind.",
82,Free spirit,4,2023-03-01,"This library is suitable for use by students and the general public.
The downside is that the opening hours are short.",
83,Guy LeBleu,5,2021-06-29,"Quel changement!
La nouvelle bibliothèque Benny est un immense progrès physique et architectural par rapport à la chapelle étroite et vieillote d'avant. Cette fraîcheur nouvelle se remarque tout autant chez le personnel. Les ours(es) qui hantaient l'ancien local semble y avoir été  laissé(e)s. On ne croise plus à Benny que des employés aimables, doués d'un bon sens de l'humour et toujours prêts à rendre service avec le sourire. C'est un réel bonheur que d'aller bouquiner dans cet endroit.",
84,Hicham Karti,5,2021-06-29,"Agréable endroit pour la lecture, avec un éventail de choix pour les petits et les grands. Même l'espace des bébés est très bien fait sauf qu'il est fermé momentanément à cause de la pandémie.",
85,Sarah Martin-Zement,5,2018-06-30,"Direct à côté de chez moi! Mon endroit préféré pour étudier! Beaucoup d'espaces de travail. Ma place préférée se trouve en haut à droite quand on monte les escaliers! Il y a des bureaux et des fauteuils disponibles devant de grandes fenêtres! De plus, on peux y louer des ipads et des ordinateurs pour travailler. Je trouve cela tout simplement génial! La sélection de livres y est très intéréssante! J'y trouve facilement ce dont j'ai besoin. Définitivement un endroit que j'adore!",
86,Martine Savard,1,2020-06-29,"L'endroit pourrait être vraiment très bien. Mais ici, comme c'est si souvent le cas, c'est l'enfant qui règne! Bref, on se sent bien plus au terrain de jeux que dans une bibliothèque. Quel dommage! :(",
87,Yugioh Gamer 1452,1,2017-06-30,Mon garçon de 15 ans à la permission parental sur sa carte pour pouvoir emprunter des jeux de ps4 de 18 ans au début ils laissaient mais maintenant ils ne laisse pas car apparemment ils ont eux une réunion pour ne plus laisser ça.  Maintenant je suis obliger d'aller avec mon garçon à la bibliothèque pour pouvoir emprunter un jeux .(Sérieusement je vais porter plainte si ça continue comme ça .) Aller plutôt à la bibliothèque de la côte des neige la Au moin c'est beaucoup mieux,
88,Aurelie Lenain,5,2021-06-29,Un choix impressionnant de livres pour petits et grands ! Une gentillesse incroyable de la part du personnel 🤩 Et une gestion du Covid exemplaire ! Bref il faudrait mettre 6 étoiles ⭐️ ⭐️⭐️⭐️⭐️⭐️ …,
89,Guru Prasanna C S,5,2017-06-30,I just took membership at this library. My first public library experience in Montreal/Canada and it is awesome. I have left the office several times and worked here. WiFi is free here and there is enough space to sit and work.,
90,Raquel Moran,5,2022-08-03,"Super pour les bébés

Super pur les enfants

Super  pour les adolescents

Super pour les adultes

Merci à tous le monde qui travaille ici",
91,Laura_ytb24,1,2019-06-30,"Une des personnels appele le remorcage pour avoir stationné just pour aller faire les devoirs au centre sportif, à côté avec mes deux garçons, seulement par ce qu'on est arrivé juste au moment de la fermeture du centre culturel ?",
92,MO B.,5,2017-06-30,"Superbe bibliothèque, vivante, moderne et axée sur les technologies. Personnel accueillant et sympathique.",
93,Loubna ZEBIRI,5,2020-06-29,Les employés sont très gentils et serviables surtout la fille avec les longs cheveux bouclés,
94,XU YING WU,5,2017-06-30,"Very good library, you can borrow books for free with a card",
95,Hanxi Eric Zheng,5,2019-06-30,"The environment is very good, very quiet, it is a good place to study",
96,Jean-François Charguerot,5,2022-06-29,Toujours un plaisir d'aller là bas,
97,Daniel Jimenez,5,2018-06-30,A cozy little public library in the heart of NDG.,
98,jeremy zaghdoun,5,2020-06-29,Très bon service,
99,simon zhang,5,2018-06-30,very decent library,
100,RADU ZUGRAV,5,2017-06-30,No review text provided.,
101,伝宝育子,1,2018-06-30,No review text provided.,
102,Homayoun M,5,2020-06-29,No review text provided.,
103,Adrian Q,5,2019-06-30,No review text provided.,
104,Nabil Bahar,4,2020-06-29,No review text provided.,
105,Haeju Kim,1,2020-06-29,No review text provided.,
106,Michael Hutchinson,5,2022-06-29,No review text provided.,
107,Vincent Lachance,5,2020-06-29,No review text provided.,
108,Bea Sara Pinter,5,2022-12-31,No review text provided.,
109,Stephen Yu,5,2018-06-30,No review text provided.,
110,김하은,4,2022-06-29,No review text provided.,
111,Milad Rahnama,4,2023-03-01,No review text provided.,
112,Juan Carlos Niño,5,2021-06-29,No review text provided.,
113,Ndg Natoo,5,2021-06-29,No review text provided.,
114,M. Sh.,5,2021-06-29,No review text provided.,
115,Margaux Julé,4,2020-06-29,No review text provided.,
116,Monique (Studio Iris),5,2020-06-29,No review text provided.,
117,Elinor King,5,2022-06-29,No review text provided.,
118,Sylvain Decelles,5,2018-06-30,No review text provided.,
119,Mitra Seraj,2,2018-06-30,No review text provided.,
120,Dudragne Nathalie,5,2019-06-30,No review text provided.,
121,Andrew Pochatkin,5,2022-09-02,No review text provided.,
122,treezy,5,2022-06-29,No review text provided.,
123,NeuRo QuiDaM,5,2018-06-30,No review text provided.,
124,Alamin Neny,5,2016-06-30,No review text provided.,
125,Sara Shafikhani,1,2017-06-30,No review text provided.,
126,Christine Hayes,5,2018-06-30,No review text provided.,
127,Yeojong Kim (Stanly),5,2022-06-29,No review text provided.,
128,Cathy Mei,1,2018-06-30,No review text provided.,
129,Georgina Guerrero,5,2019-06-30,No review text provided.,
130,Esmeralda Fragoso,5,2022-06-29,No review text provided.,
131,omar menay,3,2021-06-29,No review text provided.,
132,Alexandre Konioukhov,5,2022-10-02,No review text provided.,
133,Prisca Jr.,3,2019-06-30,No review text provided.,
134,Hayley Reynolds,5,2022-08-03,No review text provided.,
135,Gabriel Teller,5,2023-03-31,No review text provided.,
136,Yeji Lee,5,2022-06-29,No review text provided.,
137,Antoaneta Teofilova,5,2022-08-03,No review text provided.,
138,Joelma Sobreira,5,2018-06-30,No review text provided.,
139,김홍남,5,2021-06-29,No review text provided.,
140,Liliana López,5,2023-05-30,No review text provided.,
141,Reyhaneh Tarki,5,2018-06-30,No review text provided.,
142,Mounia Kemo,5,2020-06-29,No review text provided.,
143,Tavia Lam,3,2022-08-03,No review text provided.,
144,Annie Perreault,5,2018-06-30,No review text provided.,
145,Tima Isaac,5,2021-06-29,No review text provided.,
146,Yanjing Lai,4,2018-06-30,No review text provided.,
147,Dan Goyer,5,2021-06-29,No review text provided.,
148,Omar Hernandez,5,2022-06-29,No review text provided.,
149,Mason Allen,5,2018-06-30,No review text provided.,
150,carpeimost,5,2018-06-30,No review text provided.,
151,Egor Shmonin,5,2022-09-02,No review text provided.,
152,Kim Arsenault,5,2019-06-30,No review text provided.,
153,Kari Nachev,4,2021-06-29,No review text provided.,
154,Mehdi Majdi,4,2022-06-29,No review text provided.,
155,Hazar Snoussi,5,2022-06-29,No review text provided.,
156,Forouzan Mokhtari,5,2020-06-29,No review text provided.,
157,Danièle Blain,5,2021-06-29,No review text provided.,
158,Romar Benerao Rivera,4,2018-06-30,No review text provided.,
159,Cally,5,2021-06-29,No review text provided.,
160,Igor Rusu,5,2022-06-29,No review text provided.,
161,Mohamed L. Ba,5,2019-06-30,No review text provided.,
162,Edmund Lam,5,2023-06-25,No review text provided.,
163,Rick Noble,4,2023-06-22,No review text provided.,
164,L B,2,2019-06-30,No review text provided.,
165,Jamal Oufkir,5,2023-03-31,No review text provided.,
166,Yin YU,5,2020-06-29,No review text provided.,
167,Eric,5,2016-06-30,No review text provided.,
168,Terry Quinn,5,2022-06-29,No review text provided.,
169,Thomas Poulin,5,2019-06-30,No review text provided.,
170,Karolina Marasinska,5,2022-06-29,No review text provided.,
171,Boris Babizhaev,1,2023-05-30,No review text provided.,
172,ruta khare,5,2021-06-29,No review text provided.,
173,Lucciana,4,2023-05-30,No review text provided.,
174,Caroline Houle,5,2022-09-02,No review text provided.,
175,Miss O,5,2019-06-30,No review text provided.,
176,DINAH DDD,5,2022-09-02,No review text provided.,
177,UN KNOWN,5,2017-06-30,No review text provided.,
178,Math Chénier,5,2022-12-01,No review text provided.,
179,S,4,2020-06-29,No review text provided.,
180,Catherine Condoroussis,5,2022-06-29,No review text provided.,
181,Carol Ann Trachy,5,2017-06-30,No review text provided.,
182,김현석,4,2022-06-29,No review text provided.,
183,Mazen Wahdi,4,2022-06-29,No review text provided.,
184,FARES CHRIF,5,2023-03-31,No review text provided.,
185,Dean Neiderer,4,2021-06-29,No review text provided.,
186,Noah Doudeau,5,2023-01-30,No review text provided.,
187,Shavonne Somvong,5,2023-01-30,No review text provided.,
188,Itz Cubenos,5,2018-06-30,No review text provided.,
189,Seyma S,4,2018-06-30,No review text provided.,
190,Bunny Black,5,2019-06-30,No review text provided.,
191,can sun,4,2018-06-30,No review text provided.,
192,Tess Emery,5,2017-06-30,No review text provided.,
193,Keith Chatman,5,2022-06-29,No review text provided.,
194,Orshay Gabay,5,2023-05-30,No review text provided.,
195,Israel Pastor,4,2022-06-29,No review text provided.,
196,Tatiana Rusu,5,2021-06-29,No review text provided.,
197,M,5,2020-06-29,No review text provided.,
198,youssef aouad,4,2022-06-29,No review text provided.,
199,Lidia Cos,5,2022-06-29,No review text provided.,
200,neetika gupta,5,2022-08-03,No review text provided.,
201,Ray Teruya,5,2022-06-29,No review text provided.,
202,Svetlichny Aleksey,5,2020-06-29,No review text provided.,
203,Maya Martinais,5,2023-05-30,No review text provided.,
204,Yaalini,5,2017-06-30,No review text provided.,
205,MP,5,2019-06-30,No review text provided.,
206,Amine Zpk,1,2021-06-29,No review text provided.,
207,Txi VIP,5,2023-03-31,No review text provided.,
208,argargreg,5,2023-04-30,No review text provided.,
209,Sophie Xie,5,2020-06-29,No review text provided.,
210,Phil S.,5,2017-06-30,No review text provided.,
211,Mabel Kheirabadi,3,2023-03-01,No review text provided.,
212,Light,4,2020-06-29,No review text provided.,
213,Francis Charbonneau,5,2023-06-08,No review text provided.,
214,Michael M,5,2022-06-29,No review text provided.,
215,Ernesto Alvarez,5,2023-01-30,No review text provided.,
216,Carlos Jair Galindo Serrano,5,2018-06-30,No review text provided.,
