ID,Username,Rating,Review Time,Review Content,Owner Response
25,Kamran Ayoubi,5,2023-05-30,One of the most amazing bridges in the world ....,
26,Winona Faith,5,2022-09-02,Awesome bridge to watch the fireworks of Montreal!,
27,Dante Proulx,5,2020-06-29,It was scary putting my phone over the bridge JUST to take pictures,
28,Canada Startups,5,2018-06-30,"It's a very pretty and beautiful bridge located on top of St. Lawrence river. The bridge has beautiful and colorful lights which give a great, soothing, and intriguing effect. While you are on the bridge, you can see one side of entire city with biosphere seeming to be at stone's throw place. However, it's not like but gives an impression of London's Tower Bridge or SF's Golden Gate Bridge, a little, maybe 🤔, but it's fun to come here in evenings and quite fascinating to have a cool view of the city. It is a vantage point, especially, if you want to go to a higher spot to view the old-port's fireworks and experience it completely different than others.",
29,Ranjith Kizhakkey,4,2021-06-29,If you have a cycle please don't hesitate to climb this bridge. It's not that hard but worth the climb.,
30,Shivendra Bhardwaj,5,2022-10-02,Best night lights on any bridge. Mesmerising view of the river and city.,
31,Mahsa Salmani,5,2022-11-01,Astonishing view in fall!,
32,JP Azar,4,2021-06-29,"Very nice bridge! It is well adapted to pedestrians and cyclists. Could be a bit more wide but other than that, great experience!",
33,Sher G,5,2019-06-30,Very well built and designed bridge. It has bike path also.,
34,Sebastien Tremblay,4,2018-06-30,"Its an awesome bridge. You can drive right over the water!  It's crazy... In your own personal automobile.
That said the new light shoe is a nice gimmick. Looks ok. But unfortunately, and especially at the price it cost, its a bit of a joke.",
35,Turtle Power,4,2020-06-29,"The path blockers are terribly placed, it's easy to see that SO many bike handlebars have hit them. Rode over the bridge on a bike and couldn't believe how unsafe those spots are where you have to go around in a narrow turn with cross traffic. Non car riders deserve better!!! Please fix this human-made problem. ♥️Incredible view totally worth it",
36,Zoïr Radjabov,5,2022-06-29,"When people tell something about Montreal The Jacques Cartier Bridge comes to my mind. And this is true, that steel truss cantilever bridge crossing the Saint Lawrence River from Montreal Island to the south shore at Longueuil is the real symbol of the city. I can divide the bridge in two parts because it is not connecting the city and the South Shore directly. The bridge crosses Saint Helen's Island in the centre of the river, where off-ramps allow access to the Parc Jean-Drapeau and La Ronde amusement park.

Originally named the Montreal Harbour Bridge (pont du Havre), it was renamed in 1934[3] to commemorate the 400th anniversary of Jacques Cartier's first voyage up the St. Lawrence River.

The five-lane highway bridge is 3,425.6 m (11,239 ft) in length, including the approach viaducts. There are approximately 35.8 million vehicle crossings annually,[2] making it the third busiest bridge in Canada, the first being Samuel-de-Champlain Bridge, just a few kilometres (miles) upstream. The second busiest bridge in Canada overall is the Port Mann Bridge in Metro Vancouver (connecting Surrey to Coquitlam).

Together with the Champlain Bridge, it is administered by the Jacques Cartier and Champlain Bridges Incorporated (JCCBI), a Canadian Crown Corporation which reports to Infrastructure Canada.",
37,Marcelo Bassani de Freitas,5,2017-06-30,"Great view from the city!
A good place to see sunsets.
You can either walk or bike on it.
On the south (or East) side you can see downtown Montreal. And on the other side you can see the Olympic Park and have a great view of the fireworks festival.",
38,Basil Raza Butt,5,2020-06-29,One drive over this bridge is a must to be able to see Downtown Montréal. The elevation from the surrounding helps a lot in getting a good view. A walk is the best.,
39,Patrick Hills,5,2018-06-30,Much nicer walk than expected great views be aware that one side was supposed to be dedicated to bicyclists the other side pedestrians this is no longer the case especially if you are starting on the Longueil side there's only one way to get down from there or to get on,
40,Kevin Cheng,5,2019-06-30,Most distinctive bridge in the city connecting Montreal to Longueuil. Beautiful light show recently added in 2017. Closed during fireworks regularly throughout the summer.,
41,S F,5,2022-12-01,This is without a doubt one of the bridges I have crossed in my life.,
42,Tom Valentini,3,2018-06-30,"Very expensive lights for not much. Can be a good spot to watch the fireworks if you show up early enough. For cars, it’s always blocked at 8am and 5pm.",
43,Kamal Cheikh,5,2019-06-30,"Nice place to visit especially the lights show, liked it !",
44,Howard Shinder,5,2018-06-30,Now that there are lights on the bridge it makes it even nicer. Plus its the best location to view the fireworks competition from (second to only LaRonde itself),
45,Ed Pi,4,2017-06-30,A place not to miss while visiting Montreal. Very nice views early in the morning or late in the evening. Also a great place to observe the Montreal International Fireworks Competition,
46,MILA CDMS (Mila),5,2020-06-29,Amazing view of Six Flags La Ronde from the Bridge and vice versa. The lights on the bridge at night are amazing. It's truly a light show.,
47,Tom Mariasine,5,2019-06-30,"Beautiful bridge, lights give a nice display every hour on the hour, not happy about the 40 million I had to pay, no corruption there?
But point is the bridge is a landmark in East Montreal.",
48,Suzanne Freeman,5,2019-06-30,The hourly show every night is really unique.,
49,Fernando Hernandez,4,2021-06-29,"Amazing view of old port! Thrilling experience to cross it walking above, though you gotta watch out for the cyclists",
50,Jasskaran Dhillon,5,2023-06-08,Looks awesome from afar!,
51,Don Natch,5,2018-06-30,Watched the Canada Day fireworks from the bridge and it was fun!,
52,Mohammad F,5,2021-06-29,"One of the most beautiful and colorful places in montreal, lovely",
53,Sia LozSanz,5,2023-06-01,"Beautiful
Weather is fantastic",
54,Omar Rihan,5,2021-06-29,Nice view on the river and on down town montreal. Easily accessible by walking or bike through à métro station near by.,
55,Philip,4,2019-06-30,I love that the city put light on this bridge,
56,David Menei,5,2017-06-30,"There is a sidewalk for pedestrians and bikes, great views from the bridge in the morning or late evening, perfect to take pictures, i recommend visiting",
57,Charbel Abou Naccoul,5,2020-06-29,"One of my favorite bridges! Love the architecture, the colour and on top of that the lighting system on it that changes, feels like a show!",
58,Mohammed Shaikul Islam,5,2019-06-30,Excellent bridge to visit...,
59,Kamel El-Fashny,4,2019-06-30,Try riding your bike ; amazing view.,
60,Саша Брусило,4,2022-08-03,A cool place to take some pictures and watch the wireworks,
61,Thibaut Fz,5,2022-06-29,Got stuck on it for an hour because of a car accident somewhere. Not the bridge's fault. It's a nice bridge.,
62,Trekking Pals,5,2022-06-29,Beautiful bridge and a sport worth checking out when jn Montreal,
63,Alanya Atatekin,5,2018-06-30,"For pedestrians, offers incredible views of the city. Just wish they had better separation for bikes and pedestrians",
64,Anna,5,2023-03-31,Crossing it on a bicycle is the best.,
65,Dennis Robinson,5,2017-06-30,"Beautiful bridge connecting Montreal to Jean Drapeau Park and Longueuil. You can walk across it to reach the park, but it's a long walk.",
66,James H,4,2019-06-30,"At night, the reflection from the river could produce some very nice view of the bridge from a distance.",
67,Alexandra Nault-Duporge,5,2018-06-30,Beautiful view from the bridge. And it is really nice to walk at night when the bridge shine with the new lights,
68,mmayer86,5,2020-06-29,"Great place to watch the laronde fireworks from!!! It's loud though, so be sure to have ear protection for children.",
69,François Lemay,5,2021-06-29,Cycling and walking is a great way to appreciate the bridge and the views it has to offer .,
70,Neil Hyatt,4,2017-06-30,Nice bridge but would be nice to be able to walk across. Might have been just closed for winter or maintenance.,
71,Milen Minchev,5,2021-06-29,I love the views from the multifunctional path - the best over downtown Montreal and the Old Port.,
72,Miss Foodie Traveler,5,2018-06-30,"Took a drunk walk over the bridge, absolutely amazing!
Seriously, take the 30 minutes and walk across this beauty",
73,Eugenie Robitaille,5,2017-06-30,"Gorgeous and Historic Bridge. Sometimes a pain for cyclists, because sidewalks are always closed on one side.",
74,Pakistan,5,2022-08-03,A beautiful view of Montreal downtown from Jacques Cartier Bridge,
75,ericanadian ericanadian,3,2018-06-30,"The lights are garbage, but it's a decent site for watching the fireworks. Probably a high four for firework days and a low two outside of that.",
76,Daniel Epstein,3,2018-06-30,"Beautiful bridge, but money should have been spent improving the living conditions of the poorest Montrealers instead of the light show!!!",
77,Mav O,5,2019-06-30,"So pretty, and much nicer in real.",
78,ella r,4,2022-06-29,"nice bridge was a bit snowy, only saw from below",
79,Talon Dunbar,5,2020-06-29,Saw the fireworks from the bridge! Would highly recommend since the view was incredible.,
80,Albert Liu,5,2022-06-29,It is a very beautiful bridge and a part of Montreal history,
81,Betty Sanders,4,2019-06-30,There's nothing more beautiful than touring it in the afternoon. A unique experience you can't miss.,
82,Adam B,5,2018-06-30,Excellent view of the city! My friends and I rented bikes for the day and biked over it! Highly suggest!,
83,Ruby Rose,5,2022-09-02,Loved the fireworks 🎆 …,
84,Robab Hashemi,5,2022-09-02,Beautiful bridge to watch the fireworks.,
85,Christian S,4,2018-06-30,"The Montréal icon of bridges , almost as old as dirt and constantly under construction for various reasons,  but we love our bridge.",
86,Vinh Le,5,2021-06-29,Beautiful view,
87,Car Noises,4,2019-06-30,"Nice bridge, you can see it from many vantage points and places from Montreal.",
88,Noémie Desjardins,5,2021-06-29,Great bridge,
89,TJ Sw,4,2017-06-30,Two open bike lanes. Great views of the lachine canal and city skyline.,
90,Moody Blue,1,2018-06-30,"A 1925 bridge with $40,000,000 lights, reminds me of Jean Drapeau and the Olympic Stadium and his Expo 67.",
91,Fahimeh Hajizadeh,5,2022-08-03,Good view for seeing the fireworks!,
92,Ali D,5,2018-06-30,Beautiful architecture. Lights up at night. Has bike path.,
93,rob c,5,2017-06-30,I really like how this bridge got me to the other side without getting my car stuck in the river.,
94,Terance Lancaster,1,2022-06-29,Bridge literally feels like its going to fall apart when a large truck is on it,
95,leslie l,5,2018-06-30,"Very busy, historic bridge.  Great spot to watch fireworks",
96,Sam Muller,5,2017-06-30,Amusement Parks on the island gives a lot to the comfort and scenery of driving on the bridge.,
97,Randy Dimichele,1,2020-06-29,NO clue why they needed to spend 40 million dollars to light up this iron structure when the roads beneath are disintegrating.....,
98,priyanka mazumder,5,2022-12-01,What a beautiful view from up here,
99,Joe B,5,2022-06-29,"It's open to cyclists, even during the winter.",
100,Mehra Keshavarz,5,2018-06-30,If you want to watch the Summer fireworks for free here is the best place!,
101,Martin Arganaraz,5,2018-06-30,"Best place to view fireworks.
The new lights are incredible.",
102,Iris Iri,4,2017-06-30,"If you missed an exit, the bridge will give you the views in return.",
103,Haitang Feng,5,2020-06-29,"Nice bridge, especially when night comes and the lights are on",
104,Vaisakh Raveendran,5,2020-06-29,Great spot for watch fireworks and night walk with your date.,
105,Harkirat Singh Sandhu,5,2022-09-02,What a drive on this bridge it feels very classic,
106,kim tho Ho,5,2019-06-30,"beautiful bridge with bike trail, which connects Montreal and South Shore",
107,Marie-Ève Assunçao-Denis,3,2017-06-30,Nice view but crowded with pedestrians on the bike path.,
108,Amreen Shafiuddin,5,2022-06-29,symbol of montreal. stunning and beautiful at night !,
109,Sagar Khanna,4,2021-06-29,Roam around the bridge because of the footpath. Awesome experience.,
110,Claudiu Mihael Terenche,1,2021-06-29,Very bad traffic. Often 30 minutes to cross the bridge.,
111,Mo Jabbari,5,2018-06-30,Nice new light works.,
112,hima moussa,1,2023-03-01,As usual,
113,Cresa Morgan,5,2023-04-30,Lovely,
114,Chris T,5,2020-06-29,"Thé place to watch the Montreal fireworks,  always enjoying !",
115,Louis Labreche,5,2018-06-30,Awesome structure. Nice views when walking across.,
116,Raphael Francoeur,3,2017-06-30,Will be more interesting with the lights installed for Montréals 375th,
117,Conquer Through Fitness Mtl Oliver Glanville,2,2023-03-01,Traffic 😓 …,
118,Justice,5,2020-06-29,"Cartier was a good guy, champlain not so much, so 5 star I guess..?",
119,Steven Ball,5,2019-06-30,"Good bridge! Sturdy, hasn't collapsed (yet).",
120,Claire Poirier,3,2020-06-29,Nice but a bit copy cat from most famous big cities,
121,ANDRES FERNANDO PLAZA OCAMPO,5,2021-06-29,Very beatiful place!! Good place for visit in Montreal!!,
122,Steve Beukema,5,2018-06-30,Great place to watch fireworks or bike down ;),
123,daniel labelle,5,2019-06-30,Well. The bridge as not change for the past 60 years plus ....like to it different colors ...maybe white,
124,Julio Alva,5,2019-06-30,"Wonderful views of Montreal, Longueuil and Saint Lawrence River",
125,Andrew,4,2021-06-29,The light show at night is very nice,
126,SAADALLAH Nawfel,5,2020-06-29,Can't visit Montreal without passing by one of its identity items,
127,Paul Frei,5,2021-06-29,"Very similar to the Story bridge in Brisbane, Australia.",
128,Dominic Mercier,3,2021-06-29,Long and road-like. Stopped my car and I from getting wet.,
129,miKe,5,2019-06-30,It allowed me to cross the river without getting wet!,
130,Victor Palacios,5,2021-06-29,Going up is hard then you go down ... easy.,
131,dbJoker,5,2018-06-30,The lights shows are so beautiful!,
132,If theres a will Theres a way,5,2021-06-29,Wish I could rate it more than 5 stars,
133,gilles1 vautour,5,2018-06-30,Great vue....and bike ride,
134,Hootan Asgari,5,2019-06-30,Been underneath to watch Montreal's international fireworks competition.,
135,King Kali,4,2018-06-30,Pretty smooth at the time. Almost 0 traffic,
136,Angela Marie,5,2022-11-01,Beautiful at night!,
137,Skye Dallaire,5,2020-06-29,I jumped off and went in laronde for free!! Try it it works i als,
138,I A,5,2020-06-29,The most beautiful bridge in Montreal,
139,Irineu Nem eu,5,2019-06-30,Amazing view,
140,lilixx boi,5,2020-06-29,Best bridge to cross at night,
141,Alice Kulyn,5,2019-06-30,Best place to watch the fireworks.,
142,Vivin Sam,4,2017-06-30,Beautiful view and nice walk,
143,Jordan Meyler,5,2020-06-29,Great firework need more refreshments,
144,Jorge Pedrero,4,2020-06-29,Really nice place to visit.,
145,Patrick Marie François,5,2020-06-29,great place to watch the fireworks,
146,Dongjoon Lim,5,2018-06-30,Changes color and has a path for bikes,
147,manjunath c.m.,4,2018-06-30,Awesome bridge to hang around,
148,daniel zhang,5,2020-06-29,One bridge in Montreal with light show daily,
149,Jasspreet singh,4,2022-06-29,Was good for first visit,
150,Patrick Bayne,4,2020-06-29,Great view of the fireworks.,
151,HL Ooi,4,2019-06-30,Good spot for viewing fireworks,
152,Cross Marlowe,5,2020-06-29,Love it,
153,K Kalra,5,2019-06-30,Bicycle path is great convenience,
154,Michaell Jaramillo,5,2017-06-30,Amazing place to see the fireworks,
155,Jamie Laudi,5,2017-06-30,Awesome spot to watch fire works from .,
156,Brian Dombrowski,5,2018-06-30,It got me over the river. Would drive again,
157,krishna teja,4,2017-06-30,Awesome during Montreal's anniversary,
158,YouTube Cringe,5,2017-06-30,very nice view i give it a 5,
159,Brian Cowan,4,2018-06-30,It's a bridge. Hasn't collapsed yet.,
160,Paulo Unia,5,2017-06-30,Less traffic than Champlain bridge!!,
161,Mohamed Elsanabary,5,2021-06-29,"Jacques Cartier Bridge

View from Montréal tower.",
162,Tony C,5,2020-06-29,Great view of the fireworks,
163,Mike Cope,4,2018-06-30,I would have put that money toward health and education,
164,Julia Chao,5,2022-11-01,Looking great,
165,Steven M.,5,2017-06-30,39.5 Million dollars worth of lighting!!! 👀👀👀 …,
166,TMGCJ 57,5,2022-06-29,Nice plaza.,
167,Louis-Philippe Morand,5,2018-06-30,Pretty all day and night,
168,Anthony Bohonos,5,2022-11-01,Great,
169,Daniel Veillette,5,2020-06-29,Montreal fireworks are a must see,
170,Roxanne D,4,2019-06-30,It's the new Champlain bridge....,
171,Nicolas Gaudreau,5,2017-06-30,Nice bridge man.,
172,Ahmed Hassanein,5,2020-06-29,Nice veiw,
173,Jean Numainville,5,2018-06-30,Great fireworks show,
174,gaetan ross,5,2022-06-29,Ok,
175,Mohamed Remki,5,2022-09-02,Amazing,
176,Tarun Bhattacharyya,4,2019-06-30,Nice. Enjoyed.,
177,Brian Goodyear,4,2019-06-30,Least bumpy bridge in Montreal.,
178,Gary Chen,3,2019-06-30,The light is beautiful.,
179,Luiz Filipe dos Santos Gama,5,2022-06-29,Old fashioned masterpiece,
180,Phoenix Mariasine,5,2020-06-29,Beautiful at nighttime.,
181,Martin Decelles,5,2018-06-30,Nice view,
182,Stef,5,2020-06-29,Good bridge.,
183,David M,5,2020-06-29,Excellent view!,
184,Khaled Joober,5,2021-06-29,Must see,
185,JC Gregori,4,2018-06-30,Bon show,
186,Laura Marianella,5,2018-06-30,Incredible view.,
187,Samuel Rondeau-Millaire,5,2018-06-30,Awesome for the fireworks!,
188,Etienne Brossard,3,2020-06-29,Just an old bridge.,
189,Gemma Swan,5,2018-06-30,Lighting are beautiful✨✨✨,
190,Petr Raab,5,2020-06-29,Super shou pyrotechnics,
191,CrackurZz,1,2018-06-30,i wanted to go to laval,
192,Dave Lachapelle,5,2018-06-30,Nice lights,
193,marc morrison,4,2019-06-30,Highway 132 is the 'hood,
194,Chawki Refes,4,2018-06-30,Nice.,
195,Grégoire Senneville,3,2018-06-30,Cute...,
196,Navdeep Kaur,5,2022-06-29,Beautiful,
197,stephane cadieux,5,2019-06-30,Love the lighting,
198,Fahed Kozah,5,2018-06-30,Amazing lighting,
199,Shajan Kumar V R,4,2017-06-30,beautiful bridge,
200,Saurav Sharma,5,2021-06-29,Engineering Marvel ❤️,
201,Pamela Cooke,5,2020-06-29,It was very bridgey?,
202,Bilal yassin,5,2021-06-29,Beautiful,
203,Larissacamille Gagne,5,2018-06-30,Very nice.,
204,Vahid Gh,5,2021-06-29,Beautiful,
205,Joe Pouzet,4,2022-06-29,Ok,
206,Kavindra Jain,4,2020-06-29,A Unique Idea,
207,kim hyungju,4,2020-06-29,Good,
208,Iván B,5,2020-06-29,Big,
209,Boi Anh Nguyen Dinh,3,2018-06-30,Nice,
210,Khaled dandachli,5,2018-06-30,Nice to pass by,
211,Alexander Casallas,5,2020-06-29,Fantastic,
212,Melissa Bascombe,5,2018-06-30,Cool,
213,Pejman Mo,5,2018-06-30,Nice and expensive!,
214,norma aketzali,5,2018-06-30,Beautiful,
215,Teresa Lopez,5,2020-06-29,Beautiful place,
216,Charbel Sayegh,3,2020-06-29,It was great,
217,Kent Conover,5,2021-06-29,Dramatically shaky!,
218,Noman Majeed,5,2020-06-29,Stand Historically,
219,karim benmouh,4,2018-06-30,Traffic dense,
220,Bleuet T,5,2023-06-22,"Spectacular bridge, it is very high and long above the St. Lawrence River. There is a wonderful bike path that offers spectacular panoramic views of downtown Montreal, the river, Île Sainte-Hélène and Parc La Ronde. Once I even saw a whale jumping out of the water.

Spectaculaire pont, il est très haut et long au dessus du fleuve Saint-Laurent. Il y a une magnifique piste cyclable qui offre des vues panoramiques spectaculaires du centre-ville de Montréal, du fleuve, de l’île Sainte-Hélène et du parc La Ronde. Une fois, j’ai même vu une baleine qui sautait hors de l’eau. Je vous conseille fortement de le traverser à pieds une fois dans votre haut, la hauteur est hallucinante.",
221,Julia Raithel,5,2023-05-30,Beautiful and impressive bridge with a great viewpoint nearby. From here you can see the Montreal skyline perfectly. 👍🏼,
222,womanhattan,3,2023-05-30,J avais jamais roulé sur ce pont étant française je ne connaissait pas mais l etat des routes est assez halucinant et surprenant pour moi sinon tres belle vue,
223,Stéphanie Spearson,5,2022-08-03,Beau pont. Donne une excellente vue de Montréal et de l'île Sainte-Hélène. Il y a un espace protégé et sécuritaire pour les piétons et les cyclistes. Bel endroit également d'où regarder les feux d'artifice de La Ronde gratuitement vu que le pont est fermé ces soirs-là et que c'est juste à côté.,
224,Jérémie Kardos,3,2022-06-29,"Vue magnifique du côté de la piste cyclable... mais cette dernière n'est clairement pas assez large pour le nombre de vélos qui y passent l'été, en plus des piétons qui sont parfois très lunatiques et dangereux :( De plus, je ne comprends pas du tout l'utilité et la pertinence d'installer des barrières de ralentissement dans les pentes sur la piste cyclable. Est-ce que ça se ferait installer des barrières de ralentissement sur la route? Non? Alors pourquoi en mettre sur la piste cyclable?",
225,Yann Lebourg,4,2022-06-29,La traversée du pont à pied ou à vélo est juste magnifique avec la vue sur la ville.,
226,François Démontagne,4,2022-06-29,"Passage essentiel pour les piétons et cyclistes entre les deux rives du fleuve. Malheureusement, fermé 4 mois par année aux piétons et cyclistes. Incompréhensible quand on prétend se soucier de l'environnement.
[Edit] septembre 2020 : l’accès pour les piétons et cyclistes est désormais maintenu toute l’année, même l’hiver. Vive la mobilité active entre les deux rives 🚴🏽‍♀️🏃🏼‍♀️!",
227,Jean-Francois Gagnon,5,2022-06-29,"Quoi dire ? Ce pont un l'un des principal symbole de Montréal. Impassible et majestueux, il surplombe le fleuve d'une manière grandiose. On y trouve une piste cyclable reliant les iles Ste-Helène et Notre-Dame",
228,Evla,5,2021-06-29,"C’est un super beau pont sur lequel il fait bon de conduire tout en admirant MTL, le fleuve St-Laurent, le parc d’attraction la Ronde et ses environs.

Attention ! Ne rentrez pas pour autant dans le derrière d’une voiture. ;-)",
229,Jery May Lopez,5,2023-04-30,Beau pont de St Jacques Cartier,
230,Mike Hariot,5,2021-06-29,Spectacular bridge over the Sankt Lorenz river. Great lighting as available. It's a shame that the footpath and bike path are closed in the winter months.,
231,Gérard Fortrie,5,2020-06-29,"La question que je le pose... combiens de temps , de fer, de matériaux  et  d'hommes pour faire  ce pont ....  et juste un mot .... magnifique.",
232,Ulryk Laperrière,5,2023-06-08,"Excellent pont, pratique pour traverser le fleuve St-Laurent.",
233,Joana Zghaib,3,2019-06-30,"La marche y est incroyable, la vue est à couper le souffle!!! À faire en été ou même au printemps. Le seul hic est l'aménagement de ces lumières qui ont coûté beaucoup trop cher et alimente la pollution visuelle de la ville.",
234,Max Bauer,4,2022-12-31,"Très beau pont commémoratif et monument signature architectural de la ville, du 400 ème anniversaire de la traversée transatlantique originale, inauguré en 1934. Agréable à traverser en vélo ou à pieds, pour des vues de la silhouette urbaine magnifiques, les îles, et la rive-sud, ainsi que lumières artistique de couleurs alternée de nuit. (longueur: 3.4 km / hauteur maximale du tablier de pont 36.6 m.[120 pieds])
~~~
Very nice commemorative bridge and architectural city signature monument, of the 400 th anniversary of the original transatlantic crossing, inaugurated in 1934. Enjoyable to cross on bike or by foot, for amazing views of the city skyline, islands, and the southshore, as artistic alternate color lighting by night. (lenght: 3.4 km / maximum height of bridge deck 36.6 m.[120 feet])",
235,yES smertes,5,2020-06-29,Une belle construction!! Nous l'avons emprunté pour nous rendre sur l'île Saint Hélène et visiter la biosphère.,
236,Thierry Mbiya Officiel,4,2019-06-30,Je n'ai toujours pas eu le temps d'y faire ma promenade à pieds ou à vélo.  Été 2019 inch'Allah,
237,Beatriz Garcia,5,2022-12-01,"This monster! 💝 It is monumental, masterful, it is completely beautiful!👍💯💃💞",
238,jean-marie fortier,5,2023-06-15,"Pour contourner le tunnel , pont Jacques cartier est une très bonne alternative",
239,etienne vallee,4,2022-06-29,"maintenant illuminé, il est beau a voir le soir. soyez prudent sur le pont, il y a une courbe et gardez bien votre ligne! Le parc d attraction  La ronde est la , en plein milieu du pont, prenez la sortie et vous y êtes. En vacances a Montréal, c est un arrêt pour la famille!",
240,CNET ENR.,5,2023-05-30,Ça devrait être tjrs 3vois ouvert ça viderais Papineau même après 7 hrs,
241,Christian Blt,5,2022-06-29,Magnifique. Traverser à pied le pont.,
242,sonia rahal,5,2022-10-02,Belle vue pour les feux d’artifices en juillet,
243,Reda B.,5,2019-06-30,C'est un des plus beau pont en structure métallique. Très beau !,
244,dor alexandr,5,2021-06-29,The Jacques Cartier Bridge links the two cities of Montreal and Longueuil. An island is located between the cities,
245,Yanick prudhomme,2,2023-04-30,Ouff pas facile de ce rendre jusqu’au pont quand tu es a Montréal,
246,Jose C Lopez,4,2022-11-01,"Impécable de le traverser la nuit. Aucun péage non plus. Il est très bien connecté aux autoroutes. Bien sûr de jour, avec le traffic, c'est une autre histoire.",
